"omm_id","nombre","lat_dec","lon_dec","elev"
86330,"Artigas",-30.4,-56.51,120.38
86350,"Rivera",-30.9,-55.54,241.94
86360,"Salto",-31.43,-57.98,41
86430,"Paysandú",-32.35,-58.04,61.12
86440,"Melo",-32.37,-54.19,100.36
86460,"Paso de los Toros",-32.8,-56.53,75.48
86490,"Mercedes",-33.25,-58.07,17.01
86560,"Colonia",-34.45,-57.77,18
86565,"Rocha",-34.49,-54.31,18.16
86580,"Aeropuerto Carrasco",-34.83,-56.01,32.88
90000001,"Las Brujas",-34.6719,-56.34,32
90000002,"La Estanzuela",-34.3372,-57.6922,72
90000003,"Tacuarembó",-31.7089,-55.8267,115
90000004,"Treinta y Tres",-33.275,-54.1722,22
90000005,"Salto Grande",-31.2728,-57.8908,47
