"x","y","station_id","nombre","elev","pais_id","geometry"
5835494.82442964,6632608.72137108,86330,"Artigas",120.38,"UY","c(-56.51"
5926616.2029582,6573812.6132469,86350,"Rivera",241.94,"UY","c(-55.54"
5692074.10806839,6521820.7017302,86360,"Salto",41,"UY","c(-57.98"
5684523.07008518,6419881.0899194,86430,"Paysandú",61.12,"UY","c(-58.04"
6047215.37298232,6404466.97093284,86440,"Melo",100.36,"UY","c(-54.19"
5825109.16208372,6366328.55618098,86460,"Paso de los Toros",75.48,"UY","c(-56.53"
5679875.83869897,6320095.69067855,86490,"Mercedes",17.01,"UY","c(-58.07"
5704953.13091964,6186393.40687458,86560,"Colonia",18,"UY","c(-57.77"
6022965.00826815,6169479.64313584,86565,"Rocha",18.16,"UY","c(-54.31"
5865110.90020777,6139226.4993222,86580,"Aeropuerto Carrasco",32.88,"UY","c(-56.01"
5835538.71964196,6157932.22967089,90000001,"Las Brujas",32,"UY","c(-56.34"
5712389.83758128,6198749.97282702,90000002,"La Estanzuela",72,"UY","c(-57.6922"
5895763.84739439,6485077.82306197,90000003,"Tacuarembó",115,"UY","c(-55.8267"
6043329.5350603,6303792.0087964,90000004,"Treinta y Tres",22,"UY","c(-54.1722"
5700891.61425775,6539096.70696387,90000005,"Salto Grande",47,"UY","c(-57.8908"
